episode,total_reward,red_reward,black_reward,steps,result,elapsed_time
2959,27.9200,2.6800,25.2400,128,black_win,4026.9
2960,29.3500,4.2900,25.0600,187,black_win,4027.7
2961,8.7400,1.4000,7.3400,143,draw,4030.4
2962,13.6600,6.8900,6.7700,257,draw,4031.6
2963,27.8800,26.4300,1.4500,126,red_win,4032.3
2964,7.6700,2.4400,5.2300,137,draw,4033.1
2965,29.6400,25.4500,4.1900,158,red_win,4033.7
2966,29.0200,24.0700,4.9500,220,red_win,4035.3
2967,26.4200,25.0500,1.3700,177,red_win,4036.0
2968,2.0700,5.1600,-3.0900,91,draw,4036.4
2969,29.1900,4.2700,24.9200,203,black_win,4037.2
2970,13.2100,7.0500,6.1600,201,draw,4038.1
2971,27.6300,24.9100,2.7200,157,red_win,4039.6
2972,12.5900,6.2400,6.3500,162,draw,4040.3
2973,29.5800,26.2700,3.3100,158,red_win,4041.1
2974,-9.9300,-5.3800,-4.5500,49,draw,4041.3
2975,9.8100,6.7800,3.0300,125,draw,4041.9
2976,10.6300,4.3700,6.2600,156,draw,4043.6
2977,12.8100,7.2300,5.5800,140,draw,4044.2
2978,9.7300,6.9500,2.7800,246,draw,4045.9
2979,13.7400,7.2000,6.5400,148,draw,4046.6
2980,23.5700,25.2600,-1.6900,159,red_win,4047.2
2981,29.3800,4.1200,25.2600,184,black_win,4049.0
2982,29.2900,5.0900,24.2000,193,black_win,4049.9
2983,13.5300,7.1500,6.3800,169,draw,4050.5
2984,25.8100,1.0600,24.7500,238,black_win,4051.5
2985,12.3200,6.9900,5.3300,189,draw,4052.4
2986,12.1700,7.3400,4.8300,204,draw,4054.0
2987,24.9800,-1.2200,26.2000,113,black_win,4054.6
2988,28.3200,3.1500,25.1700,189,black_win,4055.6
2989,12.9800,6.0400,6.9400,224,draw,4056.6
2990,28.7900,25.5300,3.2600,142,red_win,4057.8
2991,12.5400,6.7400,5.8000,167,draw,4059.2
2992,13.8000,6.9000,6.9000,243,draw,4060.3
2993,13.6700,6.3900,7.2800,155,draw,4060.9
2994,13.5500,6.1500,7.4000,167,draw,4061.7
2995,24.9900,26.1400,-1.1500,112,red_win,4062.3
2996,4.7700,11.4000,-6.6300,30,red_win,4063.4
2997,10.4300,5.5400,4.8900,170,draw,4064.2
2998,13.4600,6.4700,6.9900,176,draw,4065.1
2999,14.3000,6.9700,7.3300,193,draw,4066.2
3000,29.6400,25.4500,4.1900,158,red_win,4066.9
3001,11.8100,5.1600,6.6500,139,draw,4068.3
3002,13.7600,6.6400,7.1200,247,draw,4069.8
3003,14.3400,7.0500,7.2900,189,draw,4070.7
3004,28.5300,3.1900,25.3400,168,black_win,4071.4
3005,30.3700,5.1200,25.2500,186,black_win,4072.2
3006,30.0500,25.0900,4.9600,218,red_win,4074.5
3007,25.6700,0.4300,25.2400,151,black_win,4075.2
3008,9.9900,3.6900,6.3000,113,draw,4075.8
3009,30.5000,5.3100,25.1900,173,black_win,4076.5
3010,11.8700,6.7400,5.1300,133,draw,4077.0
3011,12.4500,5.1500,7.3000,176,draw,4078.4
3012,27.0300,25.3000,1.7300,116,red_win,4078.9
3013,26.9700,0.7900,26.1800,116,black_win,4079.6
3014,13.1900,6.0900,7.1000,203,draw,4080.6
3015,29.1400,24.7800,4.3600,208,red_win,4081.5
3016,11.9400,7.2500,4.6900,126,draw,4083.1
3017,8.9500,7.3300,1.6200,122,draw,4083.8
3018,26.3300,24.8300,1.5000,186,red_win,4085.1
3019,26.0100,25.1700,0.8400,117,red_win,4085.6
3020,27.9500,26.4700,1.4800,119,red_win,4086.1
3021,27.8100,2.5700,25.2400,139,black_win,4087.4
3022,22.9100,-2.2300,25.1400,124,black_win,4087.9
3023,29.6400,25.3900,4.2500,158,red_win,4088.5
3024,13.6900,6.8500,6.8400,254,draw,4089.6
3025,25.9800,25.5800,0.4000,120,red_win,4090.0
3026,28.8800,3.4900,25.3900,133,black_win,4091.8
3027,9.8800,6.7800,3.1000,231,draw,4093.1
3028,29.4200,25.3400,4.0800,180,red_win,4093.8
3029,20.2900,25.3400,-5.0500,83,red_win,4094.2
3030,14.0500,7.0900,6.9600,218,draw,4095.3
3031,-2.9100,-0.4400,-2.4700,60,draw,4096.5
3032,12.2300,6.1500,6.0800,192,draw,4097.4
3033,28.0700,24.8700,3.2000,214,red_win,4098.4
3034,13.2200,7.1100,6.1100,200,draw,4099.3
3035,14.1800,6.8500,7.3300,205,draw,4100.4
3036,11.6200,4.5300,7.0900,158,draw,4102.3
3037,12.3100,7.2300,5.0800,190,draw,4103.6
3038,28.7500,25.1500,3.6000,146,red_win,4104.3
3039,27.7800,26.5600,1.2200,136,red_win,4104.9
3040,10.5100,3.2400,7.2700,168,draw,4105.8
3041,29.9000,24.9500,4.9500,233,red_win,4107.5
3042,8.8500,4.3600,4.4900,120,draw,4108.1
3043,14.2900,7.1400,7.1500,194,draw,4109.0
3044,26.8800,25.5800,1.3000,131,red_win,4109.6
3045,14.3800,7.1900,7.1900,185,draw,4110.6
3046,13.3300,7.0500,6.2800,189,draw,4112.0
3047,28.5200,26.1300,2.3900,163,red_win,4112.9
3048,12.7400,5.4800,7.2600,147,draw,4113.6
3049,26.7000,1.5700,25.1300,149,black_win,4114.2
3050,26.9000,1.9900,24.9100,230,black_win,4115.2
3051,28.9800,25.4400,3.5400,123,red_win,4117.6
3052,27.4800,24.9000,2.5800,172,red_win,4118.4
3053,13.2600,6.2500,7.0100,196,draw,4119.3
3054,11.5700,7.1200,4.4500,163,draw,4120.0
3055,13.4600,7.3600,6.1000,176,draw,4120.9
